city,cloud,hum,lat,temp,wind
vetrni,80,95,-33.64,69.71,21.63
tasiilaq,0,79,-5.56,68.99,8.25
kawalu,0,93,-33.93,50.0,5.82
zhangye,40,65,-54.81,41.0,17.22
melfi,90,93,30.3,58.64,8.05
eureka,24,98,-22.97,70.79,5.91
buchanan,88,92,71.64,26.6,6.31
bad salzdetfurth,1,50,36.24,53.33,6.93
digha,92,100,-19.06,77.09,19.22
malinovoye ozero,32,100,-21.35,76.73,13.58
erzin,92,100,-23.12,78.71,11.83
fort-shevchenko,80,98,3.07,83.93,14.07
golden,90,55,60.79,39.2,11.41
tyrma,0,52,55.0,46.4,15.66
caceres,0,93,52.2,48.79,5.82
quelimane,0,100,11.28,75.92,15.59
hatillo,0,87,-34.53,44.6,3.36
palmer,48,82,77.48,3.11,4.63
tuktoyaktuk,92,86,-46.19,45.5,17.43
general roca,20,68,62.45,24.8,12.75
necochea,0,89,-34.42,42.89,2.62
kainantu,88,94,-41.87,54.32,8.1
carmen,0,41,35.73,77.0,10.29
oistins,64,80,11.25,80.87,19.06
pontarlier,5,56,22.89,71.6,9.82
yellowknife,0,68,-33.01,66.2,3.11
cambridge,36,98,-3.75,84.56,4.07
payo,80,80,60.72,35.6,3.0
port moresby,75,59,42.65,35.49,16.11
mount isa,75,88,22.08,76.19,17.22
yulara,20,49,14.29,93.2,9.17
hermanus,20,82,45.6,55.4,2.24
inhambane,92,95,-28.95,64.76,7.43
losevo,20,87,39.45,48.2,4.7
dillon,92,100,-9.8,81.86,18.21
zhuhai,20,80,-53.16,35.6,23.04
newport,90,93,63.84,41.0,3.36
fushan,0,63,-42.88,62.6,10.29
fonte boa,90,93,61.6,40.55,6.93
lata,0,51,26.59,66.47,11.34
gwadar,0,36,56.36,38.84,3.0
havelock,75,94,6.8,75.2,4.7
ribeira grande,0,90,71.03,27.05,11.27
carnarvon,0,83,-3.41,77.0,8.05
khatanga,1,30,39.95,55.4,10.29
ternate,68,87,-30.17,69.26,4.29
port-gentil,20,72,7.42,88.34,6.53
vondrozo,76,100,-19.55,77.54,14.18
arlit,80,78,28.17,67.64,2.06
kalmunai,12,37,42.84,67.19,4.23
matadi,75,93,59.7,48.2,6.71
vila franca do campo,12,99,-0.74,75.65,7.81
sri aman,24,99,71.97,18.23,5.08
safranbolu,48,100,-21.21,78.35,13.47
dongsheng,0,62,-46.43,53.87,15.97
gelemso,76,97,4.06,66.83,3.62
tessalit,76,58,28.66,59.0,4.7
taunggyi,92,66,56.95,45.86,14.14
nhulunbuy,88,93,60.4,44.6,11.41
makakilo city,1,87,33.19,48.67,6.13
evensk,40,33,55.74,44.6,6.93
ust-nera,92,95,4.89,80.06,6.08
mount gambier,64,97,50.68,34.07,4.74
krasnyy chikoy,75,100,-20.41,75.2,9.17
ndioum,75,93,67.67,41.0,8.05
kennett,75,88,13.07,77.0,20.8
komsomolskiy,44,53,-23.58,79.97,7.54
punta arenas,32,97,70.62,20.03,6.53
fortuna,76,100,-0.6,83.21,17.72
cruzeiro do sul,8,89,-24.8,66.38,2.84
berlevag,0,94,-6.97,73.4,4.7
bambous virieux,8,96,-38.31,63.41,6.87
harper,56,81,-35.1,61.97,9.66
eyrarbakki,76,98,65.61,32.0,1.12
esil,75,93,8.96,57.2,9.17
touros,1,70,41.28,42.8,12.75
togur,90,88,-18.93,66.2,6.93
narsaq,12,66,17.49,86.0,2.24
vila,0,87,45.16,51.8,2.24
selfoss,48,63,52.57,56.93,12.95
tshikapa,75,100,-20.21,75.2,9.17
alyangula,0,100,-33.59,62.15,4.52
nantucket,92,99,-33.69,67.37,10.83
antigonish,0,100,64.42,22.73,22.75
katangli,0,84,29.85,48.74,0.38
east london,64,88,27.97,55.67,6.76
baft,0,28,15.34,96.08,6.08
antofagasta,0,87,53.39,45.34,2.24
upernavik,0,94,38.94,60.53,4.52
sao filipe,0,35,26.33,71.6,10.56
novobirilyussy,75,100,34.03,56.52,10.29
zhigansk,32,99,47.48,34.88,18.66
cabedelo,92,91,-19.73,69.26,3.33
kavieng,75,82,37.72,60.8,9.17
aklavik,8,38,-33.21,77.54,5.3
